no,year,TMP,SPEED,SRAD,PPT,PET,SW,LAI,CO2,ELE,SLP,AREA,CTI,RIVER,LON,LAT,CLAY,SAND,SILT,Cluster,n,AET,R
element_1347,1985,265.1743907,5.33340325,89.2083096,501.7971111,342.036427,23.47057357,0.316707574,0.000463897,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.4244535,298.1669781,203.630133
element_1347,1986,265.2000051,5.339081434,89.40131359,509.5543513,359.2146755,23.51927044,0.29999148,0.000463897,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3599055,307.9482825,201.6060688
element_1347,1987,266.2177612,5.494084483,88.88206137,540.8139948,367.648886,23.60214993,0.321186534,0.000497032,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3990786,319.9037851,220.9102097
element_1347,1988,265.8748255,5.419459723,90.17119071,489.0278281,390.1924594,23.60641704,0.317661708,0.000505316,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3798587,321.5935855,167.4342426
element_1347,1989,265.9695574,5.352932187,90.7442305,505.684332,386.6885036,23.5936416,0.3133787,0.000521884,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3611443,322.8872539,182.7970781
element_1347,1990,265.5686799,5.325646709,88.83525747,454.6168443,379.957708,23.57920756,0.316182819,0.000521884,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3422463,306.2711651,148.3456792
element_1347,1991,266.015358,5.447892778,85.12633723,521.8711284,389.5415691,23.60111379,0.321001582,0.000530168,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.4067838,329.6336719,192.2374565
element_1347,1992,265.9034674,5.394545561,86.67377542,511.0491413,372.6709139,23.6021591,0.313542358,0.000505316,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3860624,317.0377451,194.0113962
element_1347,1993,265.3562439,5.320630059,88.51856186,509.9356924,340.7837867,23.61343931,0.282209353,0.000414193,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3278897,295.7101126,214.2255798
element_1347,1994,265.7354599,5.438302725,90.9456258,494.3258293,366.3943443,23.57158371,0.329136173,0.000347922,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3873613,310.1009883,184.224841
element_1347,1995,266.1466944,5.293337976,90.10556446,511.2231029,393.4296468,22.72441751,0.309556443,0.000273368,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3882687,328.807366,182.4157369
element_1347,1996,266.1216332,5.439106641,91.33645353,516.3475754,391.6124435,22.73309379,0.299158649,0.000289935,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3495066,327.4836023,188.8639731
element_1347,1997,266.4662342,5.456506501,90.45601792,521.3592508,385.5590615,22.68021136,0.337311075,0.000273368,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.4086382,327.3274101,194.0318407
element_1347,1998,266.2109747,5.244711316,91.38029892,524.2841776,383.744799,22.6526942,0.297892565,0.000339639,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.334036,324.1570198,200.1271578
element_1347,1999,266.5243567,5.344158544,91.60605156,484.2086879,388.4546531,22.61183756,0.356062431,0.000323071,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3759096,319.3697576,164.8389303
element_1347,2000,266.8236094,5.390377986,88.6290267,543.1444312,408.5970017,22.59907629,0.324873897,0.000347923,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.382787,343.9412436,199.2031876
element_1347,2001,266.5331011,5.290106652,90.97316774,517.3922441,387.2799662,22.62134689,0.315031333,0.00036449,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3809755,326.4788196,190.9134245
element_1347,2002,267.6023815,5.437543181,86.29296843,537.5976166,432.2106951,22.61141905,0.337583526,0.000381058,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.4162693,356.7120164,180.8856002
element_1347,2003,267.2103058,5.353996409,88.32795276,521.3651101,422.8554694,22.59672125,0.347946923,0.000389342,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.404822,347.3947812,173.9703289
element_1347,2004,267.5968822,5.493376921,89.1460058,557.7575438,407.6007653,22.61127355,0.388145663,0.000397626,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.399176,347.01443,210.7431138
element_1347,2005,267.7081353,5.349153768,89.86807961,534.1019117,400.3447736,22.55573076,0.365480618,0.000439045,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3943172,337.8387954,196.2631163
element_1347,2006,267.9218997,5.408456332,85.31061845,543.747544,390.3162721,22.54201079,0.35632215,0.000439045,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.4303749,335.2896982,208.4578458
element_1347,2007,267.3854963,5.512054147,87.82800068,554.0635028,399.1303762,22.53597156,0.371695936,0.00047218,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3804636,340.6558938,213.407609
element_1347,2008,268.1085081,5.383793096,89.67843234,515.9040518,422.3662377,22.47259663,0.389143671,0.0005136,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3913553,345.2232366,170.6808152
element_1347,2009,267.9266481,5.356760069,86.63363805,535.1156725,424.7840384,22.41731357,0.383601614,0.00047218,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3600295,349.9504771,185.1651954
element_1347,2010,268.6210579,5.405485212,89.90746442,517.2812953,427.2125279,22.36461621,0.405662225,0.000488748,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.4228454,349.2751969,168.0060984
element_1347,2011,267.583963,5.410418846,87.80594922,548.8598712,436.124369,22.38226758,0.403579662,0.000555019,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.4125621,361.3462732,187.513598
element_1347,2012,268.6756688,5.342487256,85.76489829,535.1997157,444.878213,22.35612229,0.404302103,0.000613006,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.4103575,362.2882275,172.9114882
element_1347,2013,268.0276229,5.341488396,88.58455752,550.3896844,452.5746739,22.33234258,0.392156782,0.000695844,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.324491,366.3415429,184.0481415
element_1347,2014,268.5890361,5.406816876,88.10536547,569.8788588,409.9625783,22.31699616,0.397426535,0.000704128,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3638806,349.4098602,220.4689986
element_1347,2015,267.5119588,5.388966066,87.93254733,537.7934763,401.604104,22.41646663,0.393904164,0.001805173,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.3573542,337.9133653,199.880111
element_1347,2016,268.4092936,5.331511319,85.24861653,535.2055497,420.9242371,22.39050458,0.403974813,0.000553859,104.0567246,0.356320373,75597.5,2.713527616,17.17981229,61.22754399,68.56797781,13.3398695,39.85536194,35.67053223,1,2.4162834,350.1984919,185.0070578
